1,10123
2,10105
3,10048
4,10256
5,9976
6,10121
7,10052
8,9988
9,10205
10,10116
11,10128
12,10144
13,10114
14,10075
15,10071
16,10281
17,10071
18,10201
19,10078
20,10315
21,10123
22,10201
23,10222
24,10098
25,9982
26,10138
27,10115
28,10001
29,10070
30,10185
31,10202
32,10085
33,10172
34,10313
35,10073
36,10069
37,10150
38,10102
39,10003
40,10092
41,10310
42,10131
43,9956
44,10092
45,9982
46,9983
47,10098
48,10184
49,10012
50,10195
51,10136
52,10165
53,9991
54,10184
55,10071
56,10090
57,10195
58,10245
59,10296
60,10077
61,10201
62,9991
63,10038
64,10110
65,9891
66,10026
67,10190
68,9955
69,9859
70,10077
71,10035
72,10208
73,9989
74,10139
75,10102
76,10279
77,10092
78,10142
79,9884
80,10100
81,9935
82,10138
83,10011
84,9845
85,9946
86,10072
87,10151
88,10103
89,9896
90,10163
91,10153
92,9896
93,10212
94,10091
95,10061
96,10133
97,10162
98,10307
99,10160
