1,0
2,0
3,0
4,1
5,2
6,6
7,5
8,7
9,15
10,16
11,27
12,31
13,47
14,83
15,82
16,152
17,204
18,276
19,390
20,464
21,658
22,955
23,1237
24,1604
25,1988
26,2590
27,3130
28,4030
29,4849
30,6012
31,7149
32,8543
33,10159
34,11935
35,13773
36,16056
37,18352
38,20555
39,22987
40,25553
41,27801
42,30031
43,32464
44,34386
45,35887
46,37524
47,38744
48,39423
49,39841
50,40053
51,39542
52,38610
53,37160
54,36113
55,34097
56,32113
57,30084
58,27720
59,25639
60,23009
61,20756
62,18240
63,16203
64,13897
65,12096
66,10188
67,8505
68,7255
69,5963
70,4892
71,3918
72,3133
73,2571
74,2001
75,1516
76,1187
77,923
78,665
79,516
80,387
81,266
82,202
83,159
84,128
85,84
86,52
87,44
88,38
89,20
90,8
91,7
92,6
93,6
94,1
95,0
96,1
97,1
98,0
99,0
